Date,count
03-03-2017,656703
03-03-2018,702654
03-03-2019,457939
03-03-2020,870774
03-03-2021,429319
03-04-2010,301182
03-04-2011,308911
03-04-2012,221067
03-04-2013,299419
03-04-2014,502019
03-04-2015,636763
03-04-2016,764925
03-04-2017,500791
03-04-2018,582625
03-04-2019,779734
03-04-2020,859593
03-04-2021,449059
03-05-2010,339111
03-05-2011,240429
03-05-2012,309865
03-05-2013,305662
03-05-2014,494801
03-05-2015,613915
03-05-2016,610640
03-05-2017,389513
03-05-2018,741940
03-05-2019,812462
03-05-2020,760767
03-05-2021,511923
03-06-2010,230551
03-06-2011,210396
03-06-2012,317418
03-06-2013,309841
03-06-2014,525981
03-06-2015,653812
03-06-2016,518443
03-06-2017,577509
03-06-2018,800046
03-06-2019,805135
03-06-2020,957335
03-06-2021,624321
03-07-2010,213663
03-07-2011,276606
03-07-2012,320531
03-07-2013,311312
03-07-2014,592197
03-07-2015,656325
03-07-2016,672423
03-07-2017,602277
03-07-2018,819183
03-07-2019,857245
03-07-2020,804682
03-07-2021,579908
03-08-2010,226406
03-08-2011,279197
03-08-2012,330333
03-08-2013,365110
03-08-2014,548891
03-08-2015,749645
03-08-2016,651878
03-08-2017,610525
03-08-2018,852492
03-08-2019,908398
03-08-2020,815622
03-08-2021,360691
03-09-2010,286417
03-09-2011,269822
03-09-2012,381780
03-09-2013,312016
03-09-2014,529008
03-09-2015,625386
03-09-2016,659926
03-09-2017,609418
03-09-2018,959752
03-09-2019,760782
03-09-2020,696327
03-09-2021,390882
03-10-2010,287822
03-10-2011,280171
03-10-2012,315606
03-10-2013,304693
03-10-2014,450291
03-10-2015,573615
03-10-2016,669617
03-10-2017,724976
03-10-2018,839781
03-10-2019,706328
03-10-2020,830344
03-10-2021,451229
03-11-2010,301333
03-11-2011,349628
03-11-2012,338324
03-11-2013,258349
03-11-2014,454866
03-11-2015,620929
03-11-2016,827051
03-11-2017,620789
03-11-2018,887982
03-11-2019,659680
03-11-2020,859953
03-11-2021,452661
03-12-2010,345844
03-12-2011,291919
03-12-2012,316424
03-12-2013,264031
03-12-2014,530736
03-12-2015,617938
03-12-2016,730844
03-12-2017,629251
03-12-2018,743673
03-12-2019,772072
03-12-2020,868573
03-12-2021,528397
04-01-2010,313704
04-01-2011,331460
04-01-2012,276278
04-01-2013,202168
04-01-2014,477658
04-01-2015,621352
04-01-2016,826348
04-01-2017,542796
04-01-2018,650146
04-01-2019,733017
04-01-2020,140370
04-01-2021,606043
04-02-2010,161718
04-02-2011,214668
04-02-2012,320999
04-02-2013,274205
04-02-2014,472411
04-02-2015,671795
04-02-2016,643351
04-02-2017,486547
04-02-2018,583467
04-02-2019,820014
04-02-2020,109338
04-02-2021,499695
04-03-2010,237896
04-03-2011,177891
04-03-2012,334781
04-03-2013,294767
04-03-2014,503808
04-03-2015,476397
04-03-2016,555798
04-03-2017,601181
04-03-2018,764797
04-03-2019,799520
04-03-2020,144579
04-03-2021,645460
04-04-2010,206542
04-04-2011,259414
04-04-2012,345407
04-04-2013,321993
04-04-2014,598576
04-04-2015,575694
04-04-2016,682296
04-04-2017,662872
04-04-2018,819474
04-04-2019,828417
04-04-2020,88016
04-04-2021,564228
04-05-2010,192115
04-05-2011,284859
04-05-2012,361436
04-05-2013,362993
04-05-2014,540954
04-05-2015,465305
04-05-2016,710886
04-05-2017,670232
04-05-2018,824721
04-05-2019,914141
04-05-2020,78956
04-05-2021,477002
04-06-2010,295461
04-06-2011,291870
04-06-2012,181397
04-06-2013,265597
04-06-2014,462541
04-06-2015,422131
04-06-2016,645838
04-06-2017,695848
04-06-2018,943085
04-06-2019,766357
04-06-2020,131227
04-06-2021,532185
04-07-2010,305173
04-07-2011,296641
04-07-2012,267858
04-07-2013,224795
04-07-2014,527415
04-07-2015,512383
04-07-2016,750392
04-07-2017,760918
04-07-2018,774723
04-07-2019,711798
04-07-2020,131812
04-07-2021,561814
04-08-2010,322801
04-08-2011,349908
04-08-2012,222683
04-08-2013,295068
04-08-2014,485003
04-08-2015,621442
04-08-2016,808149
04-08-2017,505220
04-08-2018,636140
04-08-2019,800530
04-08-2020,134045
04-08-2021,584678
04-09-2010,357179
04-09-2011,202060
04-09-2012,172605
04-09-2013,308625
04-09-2014,491723
04-09-2015,660311
04-09-2016,649474
04-09-2017,424488
04-09-2018,783227
04-09-2019,821559
04-09-2020,160315
04-09-2021,625753
04-10-2010,242136
04-10-2011,181411
04-10-2012,296173
04-10-2013,318128
04-10-2014,514495
04-10-2015,769697
04-10-2016,514709
04-10-2017,511858
04-10-2018,823252
04-10-2019,857620
04-10-2020,95903
04-10-2021,596551
04-11-2010,166257
04-11-2011,279890
04-11-2012,327929
04-11-2013,304951
04-11-2014,609397
04-11-2015,583589
