Date,Stage 
4/03/2021,Stage 3
5/03/2021,Stage 3
6/03/2021,Stage 3
7/03/2021,Stage 3
8/03/2021,Stage 3
9/03/2021,Stage 3
10/03/2021,Stage 3
11/03/2021,Stage 3
12/03/2021,Stage 3
13/03/2021,Stage 3
14/03/2021,Stage 3
15/03/2021,Stage 3
16/03/2021,Stage 3
17/03/2021,Stage 3
18/03/2021,Stage 3
19/03/2021,Stage 3
20/03/2021,Stage 3
21/03/2021,Stage 3
22/03/2021,Stage 3
23/03/2021,Stage 3
24/03/2021,Stage 3
25/03/2021,Stage 3
26/03/2021,Stage 3
27/03/2021,Stage 3
28/03/2021,Stage 3
29/03/2021,Stage 3
30/03/2021,Stage 3
31/03/2021,Stage 3
1/04/2021,Stage 3
2/04/2021,Stage 3
3/04/2021,Stage 3
4/04/2021,Stage 3
5/04/2021,Stage 3
6/04/2021,Stage 3
7/04/2021,Stage 3
8/04/2021,Stage 3
9/04/2021,Stage 3
10/04/2021,Stage 3
11/04/2021,Stage 3
12/04/2021,Stage 3
13/04/2021,Stage 3
14/04/2021,Stage 3
15/04/2021,Stage 3
16/04/2021,Stage 3
17/04/2021,Stage 3
18/04/2021,Stage 3
19/04/2021,Stage 3
20/04/2021,Stage 3
10/06/2021,Stage 3
26/10/2020,Stage 2
27/10/2020,Stage 2
28/10/2020,Stage 2
29/10/2020,Stage 2
30/10/2020,Stage 2
31/10/2020,Stage 2
1/11/2020,Stage 2
2/11/2020,Stage 2
3/11/2020,Stage 2
4/11/2020,Stage 2
5/11/2020,Stage 2
6/11/2020,Stage 2
7/11/2020,Stage 2
8/11/2020,Stage 2
8/11/2020,Stage 2
9/11/2020,Stage 2
10/11/2020,Stage 2
11/11/2020,Stage 2
12/11/2020,Stage 2
13/11/2020,Stage 2
14/11/2020,Stage 2
15/11/2020,Stage 2
16/11/2020,Stage 2
17/11/2020,Stage 2
18/11/2020,Stage 2
19/11/2020,Stage 2
20/11/2020,Stage 2
21/11/2020,Stage 2
22/11/2020,Stage 1
23/11/2020,Stage 1
24/11/2020,Stage 1
25/11/2020,Stage 1
26/11/2020,Stage 1
27/11/2020,Stage 0
28/11/2020,Stage 0
29/11/2020,Stage 0
30/11/2020,Stage 0
1/12/2020,Stage 0
2/12/2020,Stage 0
3/12/2020,Stage 0
4/12/2020,Stage 0
5/12/2020,Stage 0
6/12/2020,Stage 0
7/12/2020,Stage 0
8/12/2020,Stage 0
9/12/2020,Stage 0
10/12/2020,Stage 0
11/12/2020,Stage 0
12/12/2020,Stage 0
13/12/2020,Stage 0
14/12/2020,Stage 0
15/12/2020,Stage 0
16/12/2020,Stage 0
17/12/2020,Stage 0
18/12/2020,Stage 0
19/12/2020,Stage 0
20/12/2020,Stage 0
21/12/2020,Stage 0
22/12/2020,Stage 0
23/12/2020,Stage 0
24/12/2020,Stage 0
25/12/2020,Stage 0
26/12/2020,Stage 0
27/12/2020,Stage 0
28/12/2020,Stage 0
29/12/2020,Stage 0
30/12/2020,Stage 0
31/12/2020,Stage 0
1/01/2021,Stage 0
2/01/2021,Stage 0
3/01/2021,Stage 0
4/01/2021,Stage 0
5/01/2021,Stage 0
